model,delta,loss_mse_vs_ref,n_shifted_gates,value_Mz,ref_Mz,value_XX_bond_avg,ref_XX_bond_avg,value_YY_bond_avg,ref_YY_bond_avg,value_ZZ_bond_avg,ref_ZZ_bond_avg,value_E_bond,ref_E_bond
heisenberg,-6.283185307179589,6.685451645391476e-05,60.0,0.7194676697474168,0.7169876017330581,-0.011232451585041445,-0.012074758238173989,-0.00969324301189118,-0.006957070082509616,0.5118430871308012,0.5109487851385262,0.49091739253386857,0.49191695681784253
ising,-6.283185307179589,0.00015155058823529513,20.0,0.8956,0.8996400000000001,5.804418289982506e-35,-6.219055028315628e-20,-5.804418289982506e-35,-5.28725821232346e-20,0.7860000000000001,0.791,0.7860000000000001,0.791
heisenberg,-5.945338651496838,0.000876640660441586,60.0,0.6814658845760695,0.7169876017330581,-0.006855338183544962,-0.012074758238173989,-0.011191932166927761,-0.006957070082509616,0.4710333844847785,0.5109487851385262,0.4529861141343058,0.49191695681784253
ising,-5.945338651496838,0.00037733882352941145,20.0,0.9084,0.8996400000000001,-1.4856540615347707e-19,-6.219055028315628e-20,-1.4856540615347707e-19,-5.28725821232346e-20,0.8165,0.791,0.8165,0.791
heisenberg,-5.625656782159669,0.0006483110492723048,60.0,0.6853898609520498,0.7169876017330581,-0.004508682109649796,-0.012074758238173989,-0.016372029129426115,-0.006957070082509616,0.4909229094143926,0.5109487851385262,0.4700421981753167,0.49191695681784253
ising,-5.625656782159669,0.00015940941176470383,20.0,0.9056,0.8996400000000001,-2.804590240028314e-35,-6.219055028315628e-20,-1.945405086261209e-35,-5.28725821232346e-20,0.8054999999999999,0.791,0.8054999999999999,0.791
heisenberg,-5.323162975520285,0.0026779586884623776,60.0,0.647044226534242,0.7169876017330581,-0.0016751639889677325,-0.012074758238173989,-0.014365509476295456,-0.006957070082509616,0.4498250026391218,0.5109487851385262,0.4337843291738586,0.49191695681784253
ising,-5.323162975520285,0.000140868235294117,20.0,0.8916000000000001,0.8996400000000001,-1.1834709777186881e-20,-6.219055028315628e-20,-1.1834709777186803e-20,-5.28725821232346e-20,0.7750000000000001,0.791,0.7750000000000001,0.791
heisenberg,-5.03693302259909,0.0007392134042543607,60.0,0.6934253886348171,0.7169876017330581,-0.00042263491671625284,-0.012074758238173989,-0.002301098386655618,-0.006957070082509616,0.5093963864122253,0.5109487851385262,0.5066726531088535,0.49191695681784253
ising,-5.03693302259909,0.00015606823529411748,20.0,0.8924,0.8996400000000001,-6.690908947755956e-35,-6.219055028315628e-20,6.690908947755956e-35,-5.28725821232346e-20,0.7765,0.791,0.7765,0.791
