mode,delta,loss_mse
xx,-6.283185307179589,0.08476913252586907
xx,-5.945338651496838,0.41288865596683966
xx,-5.625656782159669,0.4939621861879464
xx,-5.323162975520285,0.17861794529578423
xx,-5.03693302259909,0.4373256423862557
xx,-4.766092405350053,0.6562978446448989
xx,-4.509813624746714,0.5785813563970387
xx,-4.267313672525386,0.3989179196608632
xx,-4.037851638860891,0.3149277275426585
xx,-3.820726448665623,0.6853262605953166
xx,-3.615274719595643,0.7946416006652676
xx,-3.420868735219366,0.7222012172748742
xx,-3.2369145271562667,0.6404100259700016
xx,-3.0628500603259736,0.561777284209614
xx,-2.898143515763133,0.3942964711753434
xx,-2.7422916657515257,0.2832644944560618
xx,-2.594818336313024,0.39735011401893466
xx,-2.4552729523537695,0.6364774528439219
xx,-2.3232291610226077,0.712024304760107
xx,-2.1982835290757192,0.6652498081058869
xx,-2.080054310267486,0.6268576912655478
xx,-1.9681802790016327,0.5877962278070915
xx,-1.8623196266790687,0.5512037481034356
xx,-1.7621489173704834,0.4554898616140483
xx,-1.6673620996229055,0.3637404867824751
xx,-1.577669571381064,0.3234389074491952
xx,-1.492797295166556,0.3348488100809789
xx,-1.4124859608114548,0.4274630540549898
xx,-1.336490193188253,0.5368995401369551
xx,-1.2645778025155159,0.6276170876351735
xx,-1.1965290749487103,0.6491031844883177
xx,-1.132136101288749,0.603647046730269
xx,-1.0712021417572508,0.5234869466208734
xx,-1.013541024897726,0.4485592475360239
xx,-0.9589765787661355,0.3880327649635194
xx,-0.9073420926729556,0.3472822003762646
xx,-0.8584798078321985,0.34053451992273753
xx,-0.8122404353611755,0.35697940128334116
xx,-0.7684827001583442,0.42377781754717914
xx,-0.7270729092656553,0.48821728425630156
xx,-0.68788454339661,0.5374002216431165
xx,-0.6507978703820303,0.5847174883730962
xx,-0.6156995793524987,0.6236764004527539
xx,-0.5824824345397914,0.6386021111898563
xx,-0.5510449476395575,0.6389688228870083
xx,-0.5212910677342194,0.6332907079400535
xx,-0.49312988782871514,0.6242491000053478
xx,-0.4664753671024611,0.598848996435856
xx,-0.4412460680289316,0.5691390079823989
xx,-0.41736490755967726,0.5470737156711554
xx,-0.3947589216125771,0.513891701973071
xx,-0.37335904214476,0.4810931965303484
xx,-0.35309988612909526,0.4485617218388124
xx,-0.3339195557895036,0.4173714957748416
xx,-0.3157594494847533,0.38480421106894563
xx,-0.2985640826629329,0.35959470646346636
xx,-0.2822809183395641,0.3333578773958391
xx,-0.26686020658141324,0.30399790095612605
xx,-0.25225483250557745,0.2841807837846737
xx,-0.2384201723294368,0.2689317371722636
xx,-0.22531395703166326,0.24403388150734553
xx,-0.21289614320772793,0.23247129028475055
xx,-0.2011287907253334,0.20702434867956412
xx,-0.18997594680597096,0.1939564296809151
xx,-0.17940353617843807,0.18135236236693825
xx,-0.1693792569687013,0.17564547539837572
xx,-0.15987248200801774,0.1560438133229366
xx,-0.15085416525778153,0.1461425271062068
