mode,model,delta,loss_mse_vs_ref,n_shifted_gates
xx,heisenberg,-6.283185307179589,0.0004190704222585527,20.0
xx,ising,-6.283185307179589,0.0001727576470588233,0.0
xx,heisenberg,-5.945338651496838,0.15146677421780863,20.0
xx,ising,-5.945338651496838,0.00011035764705882375,0.0
xx,heisenberg,-5.625656782159669,0.189645442979292,20.0
xx,ising,-5.625656782159669,7.638117647058806e-05,0.0
xx,heisenberg,-5.323162975520285,0.024375340901445434,20.0
xx,ising,-5.323162975520285,0.00023294588235294182,0.0
xx,heisenberg,-5.03693302259909,0.15318629600835296,20.0
xx,ising,-5.03693302259909,0.0001721929411764705,0.0
xx,heisenberg,-4.766092405350053,0.3107799532941181,20.0
xx,ising,-4.766092405350053,0.0005931811764705887,0.0
xx,heisenberg,-4.509813624746714,0.2532681379437394,20.0
xx,ising,-4.509813624746714,7.52517647058826e-05,0.0
xx,heisenberg,-4.267313672525386,0.13683202811481318,20.0
xx,ising,-4.267313672525386,6.856941176470599e-05,0.0
xx,heisenberg,-4.037851638860891,0.08640236131936285,20.0
xx,ising,-4.037851638860891,0.0003344047058823537,0.0
xx,heisenberg,-3.820726448665623,0.32736614849487666,20.0
xx,ising,-3.820726448665623,0.0001824517647058827,0.0
xx,heisenberg,-3.615274719595643,0.4330537685023832,20.0
xx,ising,-3.615274719595643,0.00011986352941176458,0.0
xx,heisenberg,-3.420868735219366,0.3808394559059656,20.0
xx,ising,-3.420868735219366,0.00020259294117647104,0.0
xx,heisenberg,-3.2369145271562667,0.30281875992609286,20.0
xx,ising,-3.2369145271562667,0.00015666352941176448,0.0
xx,heisenberg,-3.0628500603259736,0.22783974754711653,20.0
xx,ising,-3.0628500603259736,8.513411764705875e-05,0.0
xx,heisenberg,-2.898143515763133,0.1325480621011844,20.0
xx,ising,-2.898143515763133,0.0001912047058823531,0.0
xx,heisenberg,-2.7422916657515257,0.07576578031825226,20.0
xx,ising,-2.7422916657515257,0.00011303999999999999,0.0
xx,heisenberg,-2.594818336313024,0.14228955188824774,20.0
xx,ising,-2.594818336313024,0.0001087105882352945,0.0
xx,heisenberg,-2.4552729523537695,0.28788417907655894,20.0
xx,ising,-2.4552729523537695,8.795764705882331e-05,0.0
xx,heisenberg,-2.3232291610226077,0.358782082153489,20.0
xx,ising,-2.3232291610226077,0.0001541694117647056,0.0
xx,heisenberg,-2.1982835290757192,0.32178216143859256,20.0
xx,ising,-2.1982835290757192,0.00019878117647058818,0.0
xx,heisenberg,-2.080054310267486,0.2804753350100918,20.0
xx,ising,-2.080054310267486,0.00027666352941176444,0.0
xx,heisenberg,-1.9681802790016327,0.2577994893161274,20.0
xx,ising,-1.9681802790016327,0.00011101647058823557,0.0
xx,heisenberg,-1.8623196266790687,0.2198961535085073,20.0
xx,ising,-1.8623196266790687,5.694588235294137e-05,0.0
xx,heisenberg,-1.7621489173704834,0.16899729122549906,20.0
xx,ising,-1.7621489173704834,6.343999999999993e-05,0.0
xx,heisenberg,-1.6673620996229055,0.11617208753239719,20.0
xx,ising,-1.6673620996229055,0.0001584047058823528,0.0
xx,heisenberg,-1.577669571381064,0.09039277861796874,20.0
xx,ising,-1.577669571381064,0.00023355764705882318,0.0
xx,heisenberg,-1.492797295166556,0.09562401032725469,20.0
xx,ising,-1.492797295166556,0.00010668705882352964,0.0
xx,heisenberg,-1.4124859608114548,0.14532247494124634,20.0
xx,ising,-1.4124859608114548,0.00024061647058823573,0.0
xx,heisenberg,-1.336490193188253,0.22689443040893195,20.0
xx,ising,-1.336490193188253,0.0001492282352941179,0.0
xx,heisenberg,-1.2645778025155159,0.2916529513308931,20.0
xx,ising,-1.2645778025155159,0.00014033411764705875,0.0
xx,heisenberg,-1.1965290749487103,0.30615845608518527,20.0
xx,ising,-1.1965290749487103,4.348705882352942e-05,0.0
xx,heisenberg,-1.132136101288749,0.27207274441647883,20.0
xx,ising,-1.132136101288749,0.00014969882352941185,0.0
xx,heisenberg,-1.0712021417572508,0.21532755973456835,20.0
xx,ising,-1.0712021417572508,0.00011224000000000023,0.0
xx,heisenberg,-1.013541024897726,0.16791455897341395,20.0
xx,ising,-1.013541024897726,0.0003196282352941177,0.0
xx,heisenberg,-0.9589765787661355,0.13016500003619264,20.0
xx,ising,-0.9589765787661355,0.00010278117647058813,0.0
xx,heisenberg,-0.9073420926729556,0.11417613212156363,20.0
xx,ising,-0.9073420926729556,6.23105882352942e-05,0.0
xx,heisenberg,-0.8584798078321985,0.11520970734894316,20.0
xx,ising,-0.8584798078321985,0.0005076752941176469,0.0
xx,heisenberg,-0.8122404353611755,0.1278326466695539,20.0
xx,ising,-0.8122404353611755,6.240470588235277e-05,0.0
xx,heisenberg,-0.7684827001583442,0.17372452843123617,20.0
xx,ising,-0.7684827001583442,0.00015784000000000035,0.0
xx,heisenberg,-0.7270729092656553,0.2162398570535752,20.0
xx,ising,-0.7270729092656553,4.391058823529421e-05,0.0
xx,heisenberg,-0.68788454339661,0.2554784445957674,20.0
xx,ising,-0.68788454339661,0.0003194400000000007,0.0
xx,heisenberg,-0.6507978703820303,0.2838210533217278,20.0
xx,ising,-0.6507978703820303,0.00012311058823529417,0.0
